[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 741: was 0x00000000fef145e8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.VirtualMachineError; archived mirror 0x00000000fef145e8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 166: was 0x00000000fef04750
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.InternalError archived mirror 0x00000000fef04750
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 169: was 0x00000000fef048b8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.OutOfMemoryError archived mirror 0x00000000fef048b8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 742: was 0x00000000fef14658
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.OutOfMemoryError; archived mirror 0x00000000fef14658
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 171: was 0x00000000fef049a8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.StackOverflowError archived mirror 0x00000000fef049a8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 156: was 0x00000000fef042a0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.IllegalMonitorStateException archived mirror 0x00000000fef042a0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 71: was 0x00000000fef02160
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ref.Reference archived mirror 0x00000000fef02160
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 72: was 0x00000000fef021d8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 1046: was 0x00000000fef1ed18
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.ref.Reference; archived mirror 0x00000000fef1ed18
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 73: was 0x00000000fef021f0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ref.SoftReference archived mirror 0x00000000fef021f0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 1220: was 0x00000000fef22c10
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.ref.SoftReference; archived mirror 0x00000000fef22c10
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 74: was 0x00000000fef02268
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ref.WeakReference archived mirror 0x00000000fef02268
